# library,nid,name
sceSasCore,0xCBCD4F79,__sceSasSetSimpleADSR
sceSasCore,0x99944089,__sceSasSetVoice
sceSasCore,0x440CA7D8,__sceSasSetVolume

sceSuspendForUser,0xEADB1BD7,sceKernelPowerLock
sceSuspendForUser,0x090CCB3F,sceKernelPowerTick
sceSuspendForUser,0x3AEE7261,sceKernelPowerUnlock
sceSuspendForUser,0xA14F40B2,sceKernelVolatileMemTryLock
sceSuspendForUser,0xA569E425,sceKernelVolatileMemUnlock

sceUmdUser,0xE83742BA,sceUmdDeactivate
sceUmdUser,0x20628E6F,sceUmdGetErrorStat
sceUmdUser,0x4A9E5E29,sceUmdWaitDriveStatCB

sceUtility,0x34B78343,sceUtilityGetSystemParamString
sceUtility,0x1579A159,sceUtilityLoadNetModule
sceUtility,0x9A1C91D7,sceUtilityMsgDialogGetStatus
sceUtility,0x2AD8E239,sceUtilityMsgDialogInitStart
sceUtility,0x67AF3428,sceUtilityMsgDialogShutdownStart
sceUtility,0x95FC253B,sceUtilityMsgDialogUpdate
sceUtility,0x8874DBE0,sceUtilitySavedataGetStatus
sceUtility,0x50C4CD57,sceUtilitySavedataInitStart
sceUtility,0x9790B33C,sceUtilitySavedataShutdownStart
sceUtility,0xD4B95FFB,sceUtilitySavedataUpdate
sceUtility,0x64D50C56,sceUtilityUnloadNetModule

sceWlanDrv,0x0C622081,sceWlanGetEtherAddr
sceWlanDrv,0xD7763699,sceWlanGetSwitchState
